1;;Like A Rolling Stone;;Bob Dylan;;1965
2;;(I Can't Get No) Satisfaction;;The Rolling Stones;;1965
3;;Imagine;;John Lennon;;1971
4;;What's Going On;;Marvin Gaye;;1971
5;;Respect;;Aretha Franklin;;1967
6;;Good Vibrations;;The Beach Boys;;1966
7;;Johnny B. Goode;;Chuck Berry;;1958
8;;Hey Jude;;The Beatles;;1968
9;;Smell Like Teen Spirit;;Nirvana;;1991
10;;What'd I Say;;Ray Charles;;1959
11;;My Generation;;The Who;;1965
12;;A Change Is Gonna Come;;Sam Cooke;;1964
13;;Yesterday;;The Beatles;;1965
14;;Blowin' In The Wind;;Bob Dylan;;1963
15;;London Calling;;The Clash;;1980
16;;I Want To Hold Your Hand;;The Beatles;;1963
17;;Purple Haze;;The Jimi Hendrix Experience;;1967
18;;Maybellene;;Chuck Berry;;1955
19;;Hound Dog;;Elvis Presley;;1956
20;;Let It Be;;The Beatles;;1970
21;;Born To Run;;Bruce Springsteen;;1975
22;;Be My Baby;;The Ronettes;;1963
23;;In My Life;;The Beatles;;1965
24;;People Get Ready;;The Impressions;;1965
25;;God Only Knows;;The Beach Boys;;1966
26;;A Day In The Life;;The Beatles;;1967
27;;Layla;;Derek And The Dominos;;1970
28;;(Sittin' On) The Dock Of The Bay;;Otis Redding;;1968
29;;Help!;;The Beatles;;1965
30;;I Walk The Line;;Johnny Cash;;1956
31;;Stairway To Heaven;;Led Zeppelin;;1971
32;;Sympathy For The Devil;;The Rolling Stones;;1968
33;;River Deep-Mountain High;;Ike And Tina Turner;;1966
34;;You've Lost That Lovin' Feelin';;The Righteous Brothers;;1964
35;;Light My Fire;;The Doors;;1967
36;;One;;U2;;1991
37;;No Woman, No Cry;;Bob Marley And The Wailers;;1975
38;;Gimme Shelter;;The Rolling Stones;;1969
39;;That'll Be The Day;;Buddy Holly And The Crickets;;1957
40;;Dancing In The Street;;Martha And The Vandellas;;1964
41;;The Weight;;The Band;;1968
42;;Waterloo Sunset;;The Kinks;;1968
43;;Tutti-Frutti;;Little Richard;;1955
44;;Georgia On My Mind;;Ray Charles;;1960
45;;Heartbreak Hotel;;Elvis Presley;;1956
46;;Heroes;;David Bowie;;1977
47;;Bridge Over Troubled Water;;Simon And Garfunkel;;1970
48;;All Along The Watchtower;;The Jimi Hendrix Experience;;1976
49;;Hotel California;;The Eagles;;1976
50;;The Tracks Of My Tears;;Smokey Robinson And The Miracles;;1965
51;;The Message;;Grandmaster Flash And The Furious Five;;1982
